state	abr	statehood	capital	capital_since	area_sq_mi	pop_muni_2010	pop_metro_2010	rank_state	rank_us	notes
Alabama	AL	1819	Montgomery	1846	155.4	205,764	374,536	2	115	Birmingham is the state's largest city.
Alaska	AK	1959	Juneau	1906	2716.7	31,275		3		Largest capital by municipal land area. Anchorage is the state's largest city.
Arizona	AZ	1912	Phoenix	1912	474.9	1,445,632	4,192,887	1	5	Most populous U.S. state capital and the only capital with more than 1 million citizens.
Arkansas	AR	1836	Little Rock	1821	116.2	193,524	877,091	1	117	
California	CA	1850	Sacramento	1854	97.2	466,488	2,527,123	6	35	Supreme Court of California is headquartered in San Francisco. The state's largest city is Los Angeles.
Colorado	CO	1876	Denver	1867	153.4	600,158	2,552,195	1	19	Denver was called Denver City until 1882.
Connecticut	CT	1788	Hartford	1875	17.3	124,775	1,212,381	3	221	Bridgeport is the state's largest city. Hartford, however, is the state's largest metro area. Hartford was also formerly the state's largest city.
Delaware	DE	1787	Dover	1777	22.4	36,047	162,310	2		Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
Florida	FL	1845	Tallahassee	1824	95.7	190,894	379,627	7	126	Jacksonville is the largest city. Miami is the largest metropolitan area.
Georgia	GA	1788	Atlanta	1868	131.7	420,003	5,789,700	1	38	State capital with the most populous metro area in the U.S.
Hawaii	HI	1959	Honolulu	1845	85.7	337,256	953,207	1	55	
Idaho	ID	1890	Boise	1865	63.8	205,671	616,561	1	99	
Illinois	IL	1818	Springfield	1837	54.0	116,250	208,182	6	241	Springfield was once home to Abraham Lincoln. Chicago is the state's largest city.
Indiana	IN	1816	Indianapolis	1825	361.5	829,718	1,756,221	1	15	
Iowa	IA	1846	Des Moines	1857	75.8	203,433	580,255	1	102	
Kansas	KS	1861	Topeka	1856	56.0	127,473	230,824	4	217	Wichita is the state's largest city. The largest metro area is the portion of Kansas that is considered part of Greater Kansas City.
Kentucky	KY	1792	Frankfort	1792	14.7	25,527	70,758	14		Louisville is the state's largest city.
Louisiana	LA	1812	Baton Rouge	1880	76.8	229,553	802,484	2	97	New Orleans is the state's largest city and home to the Louisiana Supreme Court, although Baton Rouge is located in the state's most populous parish. It is also home to the tallest state capitol building.
Maine	ME	1820	Augusta	1832	55.4	19,136	117,114	8		Portland is the state's largest city and previous capital.
Maryland	MD	1788	Annapolis	1694	6.73	38,394		7		Smallest capital by land area. Baltimore is the state's largest city and county. Capitol building is the oldest in the U.S. still in use.
Massachusetts	MA	1788	Boston	1630	48.4	617,594	4,522,858	1	22	Longest continuously serving capital in the U.S.
Michigan	MI	1837	Lansing	1847	35.0	114,297	464,036	5	239	Only state capital that is not also its county seat (not counting the two state capitals that are independent cities and not located in any county). Detroit is the state's largest city.
Minnesota	MN	1858	Saint Paul	1849	52.8	300,851	3,502,891	2	64	Capital's twin city, Minneapolis, is the state's largest. The two form the core of the state's Largest Metro Area.
Mississippi	MS	1817	Jackson	1821	104.9	173,514	539,057	1	149	Only state capital that shares its status as county seat with another city (Raymond, Mississippi).
Missouri	MO	1821	Jefferson City	1826	27.3	43,079	149,807	15		Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area.
Montana	MT	1889	Helena	1875	14.0	28,190	74,801	6		Billings is the state's largest city.
Nebraska	NE	1867	Lincoln	1867	74.6	258,379	302,157	2	71	Omaha is the state's largest city. It shares the largest metro area with Council Bluffs, Iowa.
Nevada	NV	1864	Carson City	1861	143.4	55,274		6		One of two independent cities that serves as a state capital. Las Vegas is the state's largest city. It shares the largest metro area with Paradise.
New Hampshire	NH	1788	Concord	1808	64.3	42,695		3		Manchester is the state's largest city.
New Jersey	NJ	1787	Trenton	1784	7.66	84,913	366,513	10		Served as the U.S. capital for a short period in the late 18th century. Newark is the state's largest city, although Trenton is the center of the largest Metropolitan Statistical Area centered in New Jersey.
New Mexico	NM	1912	Santa Fe	1610	37.3	75,764	183,732	4		Longest serving capital in the United States. Highest elevation of any state capital. Albuquerque is the state's largest city.
New York	NY	1788	Albany	1797	21.4	97,856	857,592	6		New York City is the state's largest city.
North Carolina	NC	1789	Raleigh	1792	114.6	403,892	1,130,490	2	41	Charlotte is the state's largest city.
North Dakota	ND	1889	Bismarck	1883	26.9	61,272	108,779	2		Fargo is the state's largest city.
Ohio	OH	1803	Columbus	1816	210.3	822,553	1,967,066	1	14	Third-largest state capital; however, the Cincinnati metropolitan area is slightly larger. Cleveland was previously the state's largest city.
Oklahoma	OK	1907	Oklahoma City	1910	607.0	580,000	1,252,987	1	27	Shortest serving current state capital.
Oregon	OR	1859	Salem	1855	45.7	154,637	390,738	3	151	Portland is the state's largest city.
Pennsylvania	PA	1787	Harrisburg	1812	8.11	49,528	647,390	9		Philadelphia is the state's largest city.
Rhode Island	RI	1790	Providence	1900	18.5	178,042	1,630,956	1	137	Also served as the state's capital 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900.
South Carolina	SC	1788	Columbia	1786	125.2	131,686	913,797	2	199	Charleston is the state's largest city, while Greenville is the largest metro area.
South Dakota	SD	1889	Pierre	1889	13.0	13,646		8		Sioux Falls is the state's largest city.
Tennessee	TN	1796	Nashville	1826	473.3	635,710	1,582,264	1	24	
Texas	TX	1845	Austin	1839	251.5	790,390	1,716,291	4	11	Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city by population.
Utah	UT	1896	Salt Lake City	1858	109.1	186,440	1,124,197	1	123	
Vermont	VT	1791	Montpelier	1805	10.2	7,855		6		Least populous U.S. state capital. Burlington is the state's most populous city and has the lowest population of those cities that are the most populous in their state.
Virginia	VA	1788	Richmond	1780	60.1	204,214	1,231,675	4	98	Virginia Beach and Norfolk are the state's largest cities, and Hampton Roads is the state's largest metro area based in the state. Richmond is one of two independent cities that serves as a state capital. Although Richmond is the county seat of Henrico County, it is not part of the county.
Washington	WA	1889	Olympia	1853	16.7	46,478	234,670	24		Seattle is the state's largest city.
West Virginia	WV	1863	Charleston	1885	31.6	51,400	304,214	1		Charleston is the smallest capital city that is still the most populous city in its state. Huntington has the largest metropolitan area.
Wisconsin	WI	1848	Madison	1838	68.7	233,209	561,505	2	82	Milwaukee is the state's largest city.
Wyoming	WY	1890	Cheyenne	1869	21.1	59,466	91,738	1		
